ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
719,719,,26,6.36711427661773e-005,6.36711427661773e-005,verniciflua,719,718,361,361,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,370.7
72,72,,10,0.000132960327541135,0.000132960327541135,continua,72,71,36,36,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,45.7
720,720,,26,0.000282540696024912,0.000282540696024912,336___,720,718,362,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,372.2
721,721,,27,0.00053184131016454,0.00053184131016454,gnidium,721,720,362,362,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,371.7
722,722,,27,0.000602753484853146,0.000602753484853146,ausfeldii,722,720,363,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,372.7
723,723,,11,3.66192882656832e-006,3.66192882656832e-006,497___,723,551,364,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,380.302929472923
724,724,,12,3.47742395107584e-005,3.47742395107584e-005,357___,724,723,364,370,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,375.7625
725,725,,13,0.000136989428375715,0.000136989428375715,352___,725,724,364,365,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,374.2
726,726,,14,0.00019236813346377,0.00019236813346377,xiphophylla,726,725,364,364,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,373.7
727,727,,14,0.000475858014357747,0.000475858014357747,pachycarpa,727,725,365,365,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,374.7
728,728,,13,4.01835656568764e-005,4.01835656568764e-005,356___,728,724,366,370,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,377.325
729,729,,14,4.75858014357747e-005,4.75858014357747e-005,353___,729,728,366,367,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,376.2
73,73,,10,0.000108931352684303,0.000108931352684303,spinescens,73,71,37,37,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,46.7
730,730,,15,5.44656763421517e-005,5.44656763421517e-005,cuthbertsonii,730,729,366,366,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,375.7
